link,brand,series,size,price,info,ingredients
"/Produkt/Serum/Janda-Sila-Wypelniacza-Hialuronowego-hialusferyczne-serum-wypelniacz-zmarszczek-50-ml,321333,9225",JANDA,Siła Wypełniacza Hialuronowego,50 ml,"36,99 zł","hialusferyczne serum, wypełniacz zmarszczek, ","Aqua/Water, Adipic Acid/Neopentyl Glycol Crosspolymer, Cyclopentasiloxane, Glycerin, Dimethicone, Isodecyl Neopentanoate, Tocopheryl Acetate, Sodium Hyaluronate, Laminaria Saccharina Extract, Sucrose Palmitate, Hydrolyzed Wheat Protein, Gold, Polysilicone-11, Ethylhexyl Hydroxystearate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polymethylsilsesquioxane, Butylene Glycol, Vp/Va Copolymer, Isohexadecane, Stearyl Heptanoate, Glyceryl Linoleate, Hydroxyethylcellulose, Amodimethicone, Hydroxypropyl Methylcellulose, Polysorbate 80, Stearyl Caprylate, Sorbitan Oleate, Citric Acid, Decyl Glucoside, Disodium Edta, Parfum/Fragrance, Phenoxyethanol, Ethylhexylglycerin, Caprylyl Glycol, Chlorphenesin, Potassium Sorbate, Hexylene Glycol, Benzyl Salicylate, Citronellol, Limonene, Linalool, Alpha-Isomethyl Ionone"
"/Produkt/Serum/Lirene-Diamentowy-Lifting-3D-serum-do-twarzy-przeciwzmarszczkowe-wygladzajace-dzien-noc-30-ml,409515,9225",LIRENE,Diamentowy Lifting 3D,30 ml,"29,99 zł","serum do twarzy przeciwzmarszczkowe, wygładzające, dzień/noc, ","Aqua (Water), Glycine Soja (Soybean) Oil, Caprylic/Capric Triglyceride, Dicaprylyl Carbonate, Cetearyl Alcohol, Glyceryl Stearate Citrate, Pentylene Glycol, Butyrospermum Parkii (Shea) Butter, Glyceryl Stearate, Dimethicone, Niacinamide, Diamond Powder, BislTripeptide-1) Copper Acetate, Colloidal Gold, Acetyl Heptapeptide-9, Cyanocobalamin, Hydroxyacetophenone, Tocopherol, Theobroma Cacao (Cocoa) Seed Butter, Moringa Oleifera Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Glyceryl Caprylate, Squalane, Propanediol, Stearalkonium Hectorite, Xanthan Gum, Propylene Carbonate, Sodium Phytate, Glyceryl Behenate, Polyglyceryl-3 Methylglucose Distearate, Benzyl Alcohol, Benzoic Acid, Dehydroacetic Acid, Parfum (Fragrance), Linalool, Alpha-lsomethyl lonone, Limonene, Geraniol."
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-serum-Shot-5-Kofeina-Kwas-hialuronowy-Witamina-C-Cg-op,411033,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","serum Shot 5% Kofeina, Kwas hialuronowy, Witamina C+Cg, opuchnięcia, ","Aqua (Water), Caprylic/Capric Triglyceride, Glycerin, Caffeine, Maltodextrin, Ethylhexyl Stearate, Isopropyl Palmitate, Tripelargonin, Propanediol, Betaine, Ascorbyl Glucoside, Ascorbyl Tetraisopalmitate, Ceramide NG, Palmitoyl Hexapeptide-12, Simmondsia Chinensis Seed Oil, Sodium Hyaluronate, C12-15 Alkyl Benzoate, Lauryl Glucoside, Tribehenin, Pentaerythrityl Distearate, Polyglycerul-2-Dipolyhydroxystearate, Butyrospermum Parkii Butter, Tocopheryl Acetate, Phenoxyethanol, Potassium Cetyl Phosphate, Xanthan Gum, Sodium Carbomer, Hydroxyacetophenone, Ethylhexylglycerin, Hydroxyethylcellulose, Disodium EDTA, Citric Acid, Lactic Acid, Parfum (Fragrance), CI 15985."
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-serum-Shot-Multipeptydy-Kolagen-Ceramidy-odmlodzenie-30,396448,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","serum Shot Multipeptydy, Kolagen, Ceramidy, odmłodzenie, ","Aqua (Water), Caprylic/Capric Triglyceride, Glycerin, Aloe Barbadensis Leaf Juice, Ethylhexyl Stearate , Isopropyl Palmitate, Propanediol, Tripelargonin, Betaine, Sea Water, Pullulan, Simmondsia Chinensis Seed Oil, Gardenia Jasminoides Meristem Cell Culture, Hydrolyzed Rhodophyceae Extract, Alpha-Glucan Oligosaccharide, Polymnia Sonchifolia Root Juice, Panax Ginseng Root Extract, Carnosine, Vegetable Collagen, Tocopheryl Acetate, Butyrospermum Parkii Butter, Leuconostoc/Radish Root Ferment Filtrate, Serine, Alanine, Glycine, Lactobacillus, N-Prolyl Palmitoyl Tripeptide-56 Acetate, Glutamic Acid, Ceramide NG, Ceramide NP, Ceramide AP, Ceramide EOP, Lysine HCI, Threonine, Heptapeptide-7, Lecithin, Acetyl Hexapeptide-49, Palmitoyl Tripeptide-38, Arginine, Tetrapeptide-4, Palmitoyl Tripeptide-1, Oligopeptide-68, Acetyl Heptapeptide-4, Acetyl Hexapeptide-8, Palmitoyl Tetrapeptide-7, Proline, Palmitoyl Tripeptide-8, Palmitoyl Hexapeptide-12, Dextran, Phytosphingosine, Cholesterol, Sodium Lauroyl Lactylate, Lauryl Glucoside, Sodium PCA, Glycine Soja Oil, Hydrogenated Lecithin, Pentaerythrityl Distearate, Polyglyceryl-2-Dipolyhydroxystearate, Phenoxyethanol, Pentylene Glycol, Sodium Lactate, Potassium Cetyl Phosphate, Sodium Carbomer,  Hydroxyacetophenone, Xanthan Gum, Butylene Glycol, Ethylhexylglycerin, Disodium EDTA, Citric Acid, Carbomer, Hydroxypropyl Cyclodextrin, Maltodextrin, C12-15 Alkyl Benzoate, Polysorbate 20, PCA, Caprylyl Glycol, Tribehenin, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Potassium Sorbate, Sodium Benzoate, Lactic Acid, Hydrogenated Lecithin, Sodium Oleate, Parfum (Fragrance), CI 17200, CI 19140."
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-serum-Shot-02-Retinol-Skwalan-Niacynamid-zmarszczki-30,402264,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","serum Shot 0,2% Retinol, Skwalan, Niacynamid, zmarszczki, ","Aqua (Water), Caprylic/Capric Triglyceride, Glycerin, Aloe Barbadensis Leaf Juice, Propanediol, Ethylhexyl Stearate, Isopropyl Palmitate, Tripelargonin, Betaine, Lauryl Glucoside, Pentaerythrityl Distearate, Polyglyceryl-2 Dipolyhydroxystearate, Potassium Cetyl Phosphate, Butyrospermum Parkii Butter, Sea Water, Hydrolyzed Rhodophyceae Extract, Avena Sativa Kernel Extract, Cichorium Intybus Leaf Extract, Squalane, Retinol, Retinyl Palmitate, Pullulan, Sodium Hyaluronate, Niacinamide, Bakuchiol, Tocopheryl Acetate, Tocopherol, Sodium Carbomer, Xanthan Gum, Phenoxyethanol, Hydroxyacetophenone, Ethylhexylglycerin, Potassium Sorbate, Sodium Benzoate, Parfum (Fragrance), Hydroxypropyl Cyclodextrin, Hexylene Glycol, Caprylyl Glycol, Disodium EDTA, Citric Acid, CI 15985, CI 19140."
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-peel-Shot-15-Kwas-glikolowy-Glukonolakton-Kwas-migdalo,411035,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","peel Shot 15% Kwas glikolowy, Glukonolakton, Kwas migdałowy, wygładzenie, ","Aqua (Water), Glycolic Acid, Sodium Hydroxide, Aloe Barbadensis, Leaf Juice, Pentylene Glycol, 1,2-Hexanediol, Mandelic Acid, Gluconolactone, Hyaluronic Acid, Salicylic Acid, Lactic Acid, Citric Acid, Malic Acid, Hydrolyzed Glycosaminoglycans, Calcium Gluconate, Hydroxyethylcellulose, Glycerin, Hydroxyethylcellulose, Glycerin, Hydroxyacetophenone, Sodium Benzoate, Disodium Phosphate, Polysorbate 60, Sodium Phosphate."
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-serum-Shot-2-kwas-hialuronowy-trehaloza-witamina-B5-na,396447,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","serum Shot 2% kwas hialuronowy, trehaloza, witamina B5, nawilżenia, ","Aqua (Water), Sodium Hyaluronate, 1,2-Hexanediol, Sodium Hyaluronate Crosspolymer, Aphanizomenon Flos Aquae Extract, Tremella Fuciformis Polysaccharide, Trehalose, Panthenol, Paeonia Lactiflora Root Extract, Sucrose, Phenoxyethanol, Hydroxyacetophenone, Ethylhexylglycerin, Potassium Sorbate, Sodium Benzoate, Propanediol, Butylene Glycol, Glycerin, Pentylene Glycol, Citric Acid, CI 42051."
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-serum-Shot-15-Niacynamid-Cynk-Kwas-salicylowy-niedosko,396450,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","serum Shot 15% Niacynamid, Cynk, Kwas salicylowy, niedoskonałości, ","Aqua (Water), Propanediol, Niacynamide, Pentylene Glycol, 1,2-Hexanediol, Salicylic Acid, Zinc PCA, Algin, Polyacrylate Crosspolymer-6, Sodium Sulfate, Hydroxyacetophenone, Mannitol, Microcrystalline Cellulose, Xanthan Gum, Cocamidopropyl Dimethylamine, Hydroxypropyl Methylcellulose, CI 19140, CI 42051, CI 42090, CI 77007. "
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-serum-Shot-15-Witaminy-C-Cg-Resweratrol-Kwas-ferulowy-,411034,9225",EVELINE COSMETICS,Face Therapy Professional,30 ml,"39,99 zł","serum Shot 15% Witaminy C+Cg, Resweratrol, Kwas ferulowy, rozświetlenie, ","Aqua (Water), Ascorbic Acid, Propanediol, PEG-40, Hydrogenated Castor Oil, Sodium Hydroxide, Pentylene Glycol, SodiumMetabisulfite, 1,2-Hexanediol, Resveratrol, Ferulic Acid, Retinyl Palmitate, Ascorbyl Glucoside, Polyacrylate Crosspolymer-6, Hydroxyacetophenone, Parfum (Fragrance), Hydroxypropyl Cyclodextrin, Xanthan Gum, Cyclodextrin, Dipropylene Glycol, Polydextrose, PEG-6 Caprylic/Capric Glycerides, Benzyl Salicylate, Limonene, Linalool, CI 19140."
"/Produkt/Serum/Lirene-ultra-naprawcze-serum-do-twarzy-dekoltu-i-szyi-na-dzien-i-na-noc-30-ml,390420,9225",LIRENE,@NO_NAME@,30 ml,"27,99 zł","ultra-naprawcze serum do twarzy, dekoltu i szyi, na dzień i na noc, ","Aqua (Water), Niacinamide, Vitis Vinifera Fruit Water, Glycerin, Panthenol, Pentylene Glycol, Tocopheryl Acetate, Coco-Caprylate, Propanediol, Arachidyl Alcohol, Vitis Vinifera (Grape) Seed Oil, Ascorbyl Tetraisopalmitate, Retinyl Palmitate, Vitis Vinifera Seed Extract, Resveratrol, Tocopherol, Butyrospermum Parkii (Shea) Butter, Helianthus Annuus (Sunflower) Seed Oil, Behenyl Alcohol, Sodium Stearoyl Glutamate, Arachidyl Glucoside, Xanthan Gum, Hectorite, Sodium Phytate, Citric Acid, Butylene Glycol, Benzyl Alcohol, Dehydroacetic Acid, Potassium Sorbate, Sodium Benzoate, Parfum (Fragrance), Benzyl Salicylate, Hydroxycitronellal, Limonene, Linalool, Citronellol"
"/Produkt/Serum/Perfecta-B3-Forte-odmladzajace-serum-do-twarzy-na-dzien-i-na-noc-kwas-hialuronowy-30-ml,369988,9225",PERFECTA,B3 Forte,30 ml,"33,99 zł","odmładzające serum do twarzy na dzień i na noc kwas hialuronowy, ","Aqua, Niacinamide, Polysorbate 20, Dicaprylyl Ether, C14-22 Alcohols, Pentylene Glycol, Propanediol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycerin, Sodium Hyaluronate, Biosaccharide Gum-4, Triolein, C12-20 Alkyl Glucoside, Glyceryl Dioleate, Xanthan Gum, Sorbitan Isostearate, Polysorbate 60, Glucose, Phenoxyethanol, Chlorphenesin,Octadecyl Di-T-Butyl-4-Hydroxyhydrocinnamate, DisodiumEDTA, Ethylhexylglycerin, Tocopherol, Benzyl Salicylate, Linalool, Citronellol, Alpha- Isomethyl Ionone, Limonene, Parfum."
"/Produkt/Serum/Isana-Pro-Kollagen-Energy-serum-do-twarzy-30-ml,385792,9225",ISANA,Pro-Kollagen Energy,30 ml,"23,99 zł","serum do twarzy , ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/ME-serum-do-twarzy-z-kwasem-traneksamowym-25-30-ml,370199,9225",ME+,@NO_NAME@,30 ml,"31,99 zł","serum do twarzy z kwasem traneksamowym 2,5%, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/ME-serum-do-twarzy-SPF-30-30-ml,370204,9225",ME+,@NO_NAME@,30 ml,"31,99 zł","serum do twarzy SPF 30, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/ME-serum-do-twarzy-z-kwasem-poliglutaminowym-1-30-ml,370201,9225",ME+,@NO_NAME@,30 ml,"31,99 zł","serum do twarzy z kwasem poliglutaminowym 1%, ","Aqua, PropyleneGlycol, Betaine,Polysorbate 20, Sodium Polyglutamate, Phenoxyethanol, Caprylyl Glycol, Carbomer, Tetrasodium, Glutamate Diacetate, Sodium Hydroxide."
"/Produkt/Serum/ME-serum-do-twarzy-z-kwasem-hialuronowym-2-30-ml,370191,9225",ME+,@NO_NAME@,30 ml,"27,99 zł","serum do twarzy z kwasem hialuronowym 2%, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Isana-Lift-Triple-serum-z-peptydami-30-ml,385785,9225",ISANA,Lift Triple,30 ml,"23,99 zł","serum z peptydami , ","Codziennie rano i wieczorem po umyciu nałożyć na twarz, szyję i dekolt i delikatnie wmasować. Omijać okolice oczu. Doskonale nadaje się również jako baza pod makijaż. Zalecamy do stosowania jako uzupełnienie ISANA LIFT TRIPLE KREMU NA DZIEŃ i NA NOC"
"/Produkt/Serum/ME-serum-do-twarzy-niacynamid-10-i-cynk-15-30-ml,370197,9225",ME+,@NO_NAME@,30 ml,"27,99 zł","serum do twarzy, niacynamid 10% i cynk 1,5%, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Isana-Hyaluron-Intense-koncentrat-liftingujacy-ampulki-14-ml,402885,9225",ISANA,Hyaluron Intense,14 ml,"23,99 zł","koncentrat liftingujący, ampułki , ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Isana-Vitamin-Booster-ampulki-z-retinolem-witamina-C-i-witamina-E-7x2-ml,317776,9225",ISANA,Vitamin Booster,7x2 ml,"31,99 zł","ampułki z retinolem witaminą C i witaminą E, ","retinol (czerwone ampułki): Aqua, Glycerin, Betaine, Methylpropanediol, Vitis Vinifera Seed Oil, Panthenol, Retinyl Palmitate, Tocopherol, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Parfum, Disodium EDTA, Ethylhexylglycerin, Sodium Hydroxide, Pantolactone, Citric Acid"
"/Produkt/Serum/Isana-ampulki-z-prowitamina-B5-7x2-ml,377724,9225",ISANA,@NO_NAME@,7x2 ml,"23,99 zł","ampułki z prowitaminą B5, ",brak danych
"/Produkt/Serum/Isana-serum-perlowe-Gold-Brilliance-30-ml,385735,9225",ISANA,@NO_NAME@,30 ml,"31,99 zł","serum perłowe Gold Brilliance, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Isana-Q10-ampulki-koncentrat-przeciwzmarszczkowy-72-ml,188189,9225",ISANA,Q10,7×2 ml,"23,99 zł","ampułki, koncentrat przeciwzmarszczkowy, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Isana-Q10-przeciwzmarszczkowe-kapsulki-pielegnacyjne-z-kompleksem-anti-age-7-szt,194846,9225",ISANA,Q10,7 szt.,"9,49 zł","przeciwzmarszczkowe kapsułki pielęgnacyjne z kompleksem anti-age, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Isana-Night-Beauty-kapsulki-z-retinolem-do-twarzy-1-szt,393647,9225",ISANA,Night &amp; Beauty,1 szt.,"9,49 zł","kapsułki z retinolem do twarzy, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Isana-Vitamin-C-serum-do-twarzy-w-ampulkach-3x2-ml,385743,9225",ISANA,Vitamin C,3x2 ml,"9,49 zł","serum do twarzy w ampułkach , ","Aqua, 3-0-Ethyl Ascorbic Acid, Betaine, Polyglyceryl-4 Caprate, Polyglyceryl-6 Caprylate, Alcohol Denat., Citrus Grandis Fruit Extract, Sodium Hyaluronate, Phenoxyethanol, Propylene Glycol, Xanthan Gum, Parfum, Ethylhexylglycerin, Sodium Sulfite, Citric Acid, Limonene, Linalool, Potassium Sorbate, Geraniol, Alpha-Isomethyl Ionone."
"/Produkt/Serum/Isana-Vitamin-C-serum-do-twarzy-30-ml,385745,9225",ISANA,Vitamin C,30 ml,"31,99 zł","serum do twarzy , ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Isana-Vital-serum-do-twarzy-skora-dojrzala-30-ml,385742,9225",ISANA,Vital,30 ml,"14,49 zł","serum do twarzy skóra dojrzała, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Isana-Vital-serum-skora-dojrzala-30-ml,385740,9225",ISANA,Vital,30 ml,"14,49 zł","serum, skóra dojrzała , ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Alterra-booster-hialuronowy-15-ml,340617,9225",ALTERRA,@NO_NAME@,15 ml,"18,99 zł","booster hialuronowy, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Alterra-ampulki-hialuronowe-7x1ml,366559,9225",ALTERRA,@NO_NAME@,7x1ml,"18,99 zł","ampułki hialuronowe, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Tolpa-pre-age-krem-pod-oczy-redukujacy-oznaki-zmeczenia-10-ml,401436,9225",TOŁPA,pre age,10 ml,"32,99 zł","krem pod oczy redukujący oznaki zmęczenia, ","Aqua, Glycerin, Peat Extract, Tapio-ca Starch, Glyceryl Stearote Citrate, Coco-Caprylate, Ascorbic Acid, Sodium Hyaluronate, Palmitoyl Hydroxypropyitrimonium Amylopec-tin/Glycerin Crosspolymer, Hydrolyzed Algin, Hyaluronic Acid. Rnodiola Rosea Root Extract, Menthyl lactate, Menthol, Palmitoyl Glycine, Xanthan Gum, Tocopherol, Mica, Sodium Poly-acrylate, Hydrogenated Lecithin, Corbomer, 1,2-Hexanediol, Pentylene Glycol, Butylene Gly-col, Sodium Hydroxide, Phenoxyethanol, Caprylyl Glycol, Ethylnexylglycerin, Methylpropaneaiol, Benzoic Acid, Potassium Sorbate, Cl 77891."
"/Produkt/Serum/Tolpa-pre-age-nawilzajace-serum-rozswietlajace-do-twarzy-20-ml,395576,9225",TOŁPA,pre age,20 ml,"37,99 zł","nawilżające serum rozświetlające do twarzy, ","Aqua, Glycerin, Hydroxypropyl Starch Phosphate, Peat Extract, Hydrolyzed Algin, Rhodiola Rosea Root Extract, Ceramide NP, Pentapeptide-48, Hydrogenated Lecithin, Hyaluronic Acid, Butyrospermum Parkii Butter, Olive Glycerides, Xanthan Gum, Mica, Sodium Hydroxide, Sodium Phytate, Maltodextrin, Ethylhexylglycerin, Phenethyl Alcohol, Phenoxyethanol, Caprylyl Glycol, Methylpropanediol, Benzoic Acid, Potassium Sorbate, Parfum, CI 77891."
"/Produkt/Serum/Eveline-Cosmetics-bioHyaluron-3-x-Retinol-System-multinaprawcze-serum-przeciwzmarszczkowe-na-noc-18,379118,9225",EVELINE COSMETICS,bioHyaluron 3 x Retinol System,18 ml,"29,99 zł","multinaprawcze serum przeciwzmarszczkowe na noc, ","Aqua (Water), Propylene Glycol, Propanediol, PEG-6 Caprylic/Capric Glycerides, Retinyl Palmitate, Bakuchiol, Acacia Seyal Gum Extract, Panax Ginseng Root Extract, Cichorium Intybus Leaf Extract, Phenoxyethanol, Ethylhexylglycerin,"
"/Produkt/Serum/Tolpa-pre-age-matujace-serum-normalizujace-zwezajace-pory-20-ml,401437,9225",TOŁPA,pre age,20 ml,"37,99 zł","matujące serum normalizujące zwężające pory, ","Aqua, Methylpropanediol, Peot Extract, Maltodextrin, Coco-Caprylate, Syringa Vulgaris Leaf Celi Culture Extract, Tocopherol, Parfum, Carbomer, Sodium Polyacrylate, Disodium EDTA, Sodium Hydroxide, Caprylyl Glycol, Phenylpropanol, Benzoic Acid."
"/Produkt/Serum/Eveline-Cosmetics-bioHyaluron-3-x-Retinol-System-multinawilzajace-serum-wypelniajace-zmarszczki-na-,379117,9225",EVELINE COSMETICS,bioHyaluron 3 x Retinol System,18 ml,"29,99 zł","multinawilżające serum wypełniające zmarszczki na dzień i na noc, ","Aqua (Water), Propanediol, Heptyl Glucoside, Sodium Hyaluronate, Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Tremella Fuciformis Polysaccharide, Undaria Pinnatifida Cell Culture Extract, Leuconostoc/Radish Root Ferment Filtrate,"
"/Produkt/Serum/Perfecta-Multi-kolagen-Retinol-booster-na-dzien-i-na-noc-15-ml,285237,9225",PERFECTA,Multi-kolagen Retinol,15 ml,"31,99 zł","booster na dzień i na noc, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Bielenda-Diamentowe-Lipidy-serum-lipidowe-przeciwzmarszczkowe-30-ml,409365,9225",BIELENDA,Diamentowe Lipidy,30 ml,"29,99 zł","serum lipidowe przeciwzmarszczkowe, ","Aqua (Water), Ethylhexyl Stearate, C13-15 Alkane, Isodode-cane, Propanediol, Caprylic/Capric Triglyceride, Hydrogenated Tetradecenyl/Methylpentadecene, Vegetable Oil, Sodium Lactate, Sąualane, Sim-mondsia Chinensis (Jojoba) Seed Oil, Oryza Sativa (Rice) Bran Oil, Triticum Vulgare (Wheat) Germ Oil, Persea Gratissima (Avocado) Oil, Linoleic Acid, Linolenic Acid, Tocopherol, Beta-Carotene, Lactic Acid, Sodium Chloride, Disodium EDTA, Sodium Benzoate, Potassium Sorbate, Parfum (Fragrance), Citronellol, Linalool, Benzyl Salicylate."
"/Produkt/Serum/Jus-Mionsh-T_Roscca-przeciwzmarszczkowe-odbudowujace-serum-50-70-30-ml,408524,9225",JUS &amp; MIONSH,T_Roscca,30 ml,"27,99 zł","przeciwzmarszczkowe odbudowujące serum 50-70+, ","Aqua, Glyceryl Stearate Citrate, Caprylic/Capric Triglyceride, Isostearyl Isostearate, Glycerin, Cetearyl Alcohol, Butyrospermum Parkii Butter, Betaine, Propanediol, Pseudozyma Epicola/Camellia Japonica Seed Oil Ferment Extract Filtrate, Lactococcus Ferment Lysate, Ceramide NP, N-Prolyl Palmitoyl Tripeptide-56 Acetate, Tocopheryl Acetate, Polyacrylate Crosspolymer-6, Allantoin, Sodium Hyaluronate, Pentylene Glycol, Caprylyl Alcohol, Sodium Chloride, Sodium Benzoate, Ethylhexylglycerin, Phenoxyethanol, Parfum, Lactic Acid, Sodium Hydroxide."
"/Produkt/Serum/Lirene-C-E-Vitamin-Energy-skoncentrowane-serum-do-twarzy-na-dzien-i-na-noc-30-ml,381437,9225",LIRENE,C+E Vitamin Energy,30 ml,"29,99 zł","skoncentrowane serum do twarzy na dzień i na noc, ","Aqua (Water), Propanediol, Triethanolamine, Alcohol Denat., Citrus Aurantium Dulcis (Orange) Fruit Extract, Cichorium Intybus (Chicory) Root Extract, Ascorbyl Tetraisopalmitate, Lactose, Mannitol, 3-O-Ethyl Ascorbic Acid, Lecithin, Sodium Hyaluronate, Lonicera Caprifolium Flower Extract, Lonicera Japonica Flower Extract, Carbomer, PPG-26-Buteth-26, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, PEG-40 Hydrogenated Castor Oil, Glycerin, Buteth-3, Disodium EDTA, Ethylhexylglycerin, Sodium Benzotriazolyl Butylphenol Sulfonate, Microcrystalline Cellulose, Tributyl Citrate, Tocopheryl Acetate, Hydroxypropyl Methylcellulose, Aluminum Hydroxide, Polysorbate 20, Phenoxyethanol, Benzyl Alcohol, Dehydroacetic Acid, Benzoic Acid, Parfum (Fragrance), Limonene, Hexyl Cinnamal, Citronellol, Linalool, Geraniol, CI 77492 (Iron Oxides), CI 19140 (FD&C Yellow No. 5), CI 16035 (FD&C Red No. 40), CI 12085 (D&C Red No. 36). 30 ml"
"/Produkt/Serum/Eveline-Cosmetics-Face-Therapy-Professional-ekspresowe-serum-redukujace-zmarszczki-pod-oczy-na-czol,280706,9225",EVELINE COSMETICS,Face Therapy Professional,15 ml,"21,99 zł","ekspresowe serum redukujące zmarszczki pod oczy, na czoło i okolice ust, ","Aqua (Water), Glycerin, PEG-40 Hydrogenated Castor Oil, Microcrystalline Cellulose, Caffeine, Magnesium PCA, Argania Spinosa Kernel Extract, Spilanthes Acmella Flower Extract, Undaria Pinnatifida Extract, Polygonum Bistorta Root Extract, Menthyl Lactate, Xylitylglucoside, Xylitol, Glucose, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Triethanolamine, Phenoxyethanol,  Ethylhexylglycerin, Hydroxyacetophenone, Caprylyl Glycol, Hexylene Glycol, Caprylic/Capric Triglyceride, PPG-26-Buteth-26, Anhydroxylitol, Sodium Cocoyl Glutamate, Carbomer, Xanthan Gum."
"/Produkt/Serum/Bielenda-Royal-Bee-Elixir-przeciwzmarszczkowe-serum-aktywnie-rewitalizujace-na-dzien-i-na-noc-30-ml,372615,9225",BIELENDA,Royal Bee Elixir,30 ml,"29,99 zł","przeciwzmarszczkowe serum aktywnie rewitalizujące na dzień i na noc, ","Aqua (Water),  Propanediol, Isononyl Isononanoate, Sorbitol, Isodecyl Neopentanoate, Cetearyl Alcohol, Glyceryl Stearate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Argania Spinosa Kernel Oil,  Persea Gratissima (Avocado) Oil, Hydrolyzed Serum Protein,"
"/Produkt/Serum/Bielenda-Kuracja-Mlodosci-odbudowujace-serum-przeciwzmarszczkowe-na-dzien-i-na-noc-40-30-ml,288097,9225",BIELENDA,Kuracja Młodości,30 ml,"32,99 zł","odbudowujące serum przeciwzmarszczkowe, na dzień i na noc, 40+, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/AA-My-Beauty-Power-wygladzajace-serum-booster-niacynamid-10-15-ml,372709,9225",AA,My Beauty Power,15 ml,"25,49 zł","wygładzające serum-booster niacynamid 10%, ","Aqua, Niacinamide, Pentylene Glycol, Glycerin, Propanediol, Hydroxyethylcellulose, Acetyl Hexapeptide-8, Allantoin, Malpighia Punicifolia Fruit Extract, Panthenol, Resveratrol, Rubus Chamaemorus Seed Oil, Caprylyl Glycol, Propylene Glycol, Xanthan Gum, Bis-Ethylhexyl Hydroxydimethoxy Benzylmalonate, Phenoxyethanol, Citric Acid, Decylene Glycol, 1,2-Hexanediol, Parfum"
"/Produkt/Serum/Biotinne-Care-Slow-Age-Skin-aktywne-serum-na-noc-upiekszajaco-upiekszajaco-wygladzajace-30-ml,408527,9225",BIOTINNE,Care,30 ml,"24,99 zł","aktywne serum na noc, upiększająco- upiększająco-wygładzające, ","Aqua, Niacinamide, Propanediol, Glycerin, Methylpropanediol, Ascorbyl Glucoside, Sodium Hyaluronate, Panthenol, Ethylhexylglycerin, Hydroxy-ethylcellulose, Caprylyl Glycol, Phenoxyethanol, Tetrasodium Glutamate Diacetate, Sodium Hydroxide, Citric Acid."
"/Produkt/Serum/Biotinne-Care-Slow-Age-Skin-skoncentrowane-serum-ujedrniajace-pod-oczy-30-ml,408528,9225",BIOTINNE,Care,30 ml,"24,99 zł","skoncentrowane serum ujędrniające pod oczy, ","Aqua, Propanediol, Glycerin, Methylpropanediol, Caffeine, Sodium Hyaluronate, Lactic Acid, Ethylhexylglycerin, Hydroxyethylcellulose, Phenoxyethanol, Caprylyl Glycol, Tetrasodium Glutamate Diacetate."
