link,brand,series,size,price,info,ingredients
"/Produkt/Serum/Lift4Skin-Beauty-Booster-serum-krem-nawilzajacy-SPF-30-2-kwas-hialuronowy-B5-30-ml,372712,9225",LIFT4SKIN,Beauty Booster,30 ml,"62,99 zł","serum + krem nawilżający SPF 30+ 2% kwas hialuronowy + B5, ","SERUM:, Aqua, Dimethicone, Cetearyl Ethylhexanoate, Tribehenin PEG-20 Esters, Pentylene Glycol, Glycerin, Aluminum Starch Octenylsuccinate, Propylene Glycol, Panthenol, Sodium  Hya luronate, Tocopherol, Ascorbyl Palmitate, Ascorbic Acid, Dimethicone Crosspolymer, Polyacrylate Crosspolymer-6, PEG-8, Citric Acid, Sodium Benzotriazolyl Butylphenol Sulfonate, Buteth-3, Tributyl Citrate, Phenoxyethanol, Ethylhexylglycerin, Synthetic Fluorphlogopite, Parfum, Mica, CI 77891, CI 42090, CI 77510 "
"/Produkt/Serum/Lift4Skin-Beauty-Booster-serum-krem-wygladzajacy-SPF-30-10-niacynamid-30-ml,372714,9225",LIFT4SKIN,Beauty Booster,30 ml,"62,99 zł","serum + krem wygładzający, SPF 30+ 10% niacynamid, ","SERUM:, Aqua, Niacinamide, Dimethicone, Cetearyl Ethylhexanoate, Tribehenin PEG-20 Esters, Pentylene Glycol, Glycerin, Aluminum Starch Octenylsuccinate, Propylene Glycol, Tocopherol, Ascorbyl Palmitate, Ascorbic Acid, Dimethicone Crosspolymer, Polyacrylate Crosspolymer-6, PEG-8  Sodium Benzotriazolyl Butylphenol Sulfonate, Buteth-3, Tributyl Citrate, Citric Acid, Phenoxyethanol, Ethylhexylglycerin, Parfum, Synthetic Fluorphlogopite, CI 42090, CI 19140, CI 77891, "
"/Produkt/Serum/Lift4Skin-Beauty-Booster-serum-krem-rewitalizujacy-SPF-30-12-witamina-C-30-ml,372713,9225",LIFT4SKIN,Beauty Booster,30 ml,"62,99 zł","serum + krem rewitalizujący SPF 30+ 12% witamina C, ",Serum:
"/Produkt/Serum/Dr-Skin-Clinic-booster-tradzik-kwas-salicylowy-03-destylat-olejku-z-drzewa-herbacianego-30-ml,357646,9225",DR SKIN CLINIC,@NO_NAME@,30 ml,"64,99 zł","booster trądzik, kwas salicylowy 0,3%, destylat olejku z drzewa herbacianego, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Yoskine-Geisha-Gold-Secret-serum-liftingujace-z-lipidami-sojowymi-30-ml,343053,9225",YOSKINE,Geisha Gold Secret,30 ml,"62,99 zł","serum liftingujące z lipidami sojowymi, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Dr-Skin-Clinic-booster-zmarszczki-4-Peptydy-30-ml,357647,9225",DR SKIN CLINIC,@NO_NAME@,30 ml,"89,99 zł","booster zmarszczki, 4% Peptydy, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Dr-Skin-Clinic-booster-rozjasnianie-15-Witamina-C-5-Glukonolakton-30-ml,357644,9225",DR SKIN CLINIC,@NO_NAME@,30 ml,"74,99 zł","booster rozjaśnianie 15% Witamina C, 5% Glukonolakton, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Dr-Skin-Clinic-booster-odmladzanie-1-Retinoidy-30-ml,357645,9225",DR SKIN CLINIC,@NO_NAME@,30 ml,"99,99 zł","booster odmładzanie 1% Retinoidy, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Onlybio-Ritualia-Tranquilty-serum-do-twarzy-30-ml,368089,9225",ONLYBIO,Ritualia Tranquilty,30 ml,"53,99 zł","serum do twarzy, ","Caprylic/   Capric Triglyceride,  Dicaprylyl  Carbonate,  Prunus Persica (Peach) Kernel Oil, Prunus Amygdalus Dulcis      (Sweet     Almond)      Oil,     Aleurites     Moluccanus    Seed    Oil,    Persea    Gratissima    (Avocado) Oil, Bertholletia Excelsa (Brazil) Nut Oil,   Parfum,   Hippophae   Rhamnoides   (Sea   Buckthorn) Fruit Oil, Ficus Carica Seed Oil, Prunus  Domestica  Fruit  Extract,  Ascorbyl Tetraisopalmitate,      Squalane,      Sclerocarya      Birrea   Seed   Oil,   Helianthus  Annuus (Sunflower) Seed Oil, Tocopherol."
"/Produkt/Serum/Onlybio-Ritualia-Tranquilty-serum-do-twarzy-30-ml,367468,9225",ONLYBIO,Ritualia Tranquilty,30 ml,"53,99 zł","serum do twarzy, ","Aqua,   Propanediol,  C13-15 Alkane,  Coco-Caprylate/Caprate,  Glycerin,  Squalane,Citrus  Aurantium  Dulcis  Fruit  Water,  Cetearyl Olivate,  Ascorbyl  Tetraisopalmitate,  Sorbitan Olivate,  Bacillus  Subtilis  Ferment,  Polyglutamic Acid, Hippophae Rhamnoides (Sea Buckthorn) Fruit Oil,  Betaine,  Acacia  Senegal  Gum,  Sodium  PCA, Citrus  Aurantium  Dulcis  (Orange)  Peel  Oil, Pentylene  Glycol,  Mica,  Xanthan  Gum,  Sudium Surfactin,   Benzyl   Alcohol,   Citric   Acid, Dehydroacetic  Acid,  Tocopherol,  Benzoic  Acid, Potasium  Sorbate,  Sodium  Benzoate,  Parfum, Geraniol, Limonene, Linalool, CI 77891, CI 77491."
"/Produkt/Serum/Bielenda-Professional-Vit-C-Activ-3-serum-z-aktywna-witamina-C-15-ml,357637,9225",BIELENDA PROFESSIONAL,Vit-C Activ,15 ml,"49,99 zł","3% serum z aktywną witaminą C, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/Bielenda-Professional-Peptide-Lift-3-serum-z-peptydami-15-ml,357638,9225",BIELENDA PROFESSIONAL,Peptide Lift,15 ml,"51,99 zł","3% serum z peptydami, ","Aqua (Water),"
"/Produkt/Serum/Bielenda-Professional-Peptide-Lift-koncentrat-ujedrniajacy-z-syn-coll-5-i-peptydem-miedzi-15-ml,390482,9225",BIELENDA PROFESSIONAL,Peptide Lift,15 ml,"54,99 zł","koncentrat ujędrniający z syn®-coll 5% i peptydem miedzi, ","Aqua (Water), "
"/Produkt/Serum/Bielenda-Professional-Peptide-Lift-serum-pod-oczy-z-kompleksem-rozswietlajaco-ujedrniajacym-8-15-m,390483,9225",BIELENDA PROFESSIONAL,Peptide Lift,15 ml,"52,99 zł","serum pod oczy z kompleksem rozświetlająco-ujędrniającym 8%, ","Aqua (Water), "
"/Produkt/Serum/LOreal-Paris-Revitalift-Laser-X3-serum-regenerujace-anti-age-40-30-ml,173157,9225",L'ORÉAL PARIS,Revitalift Laser X3,30 ml,"57,99 zł","serum regenerujące anti-age, 40+, ",BRAK SKŁADU - BŁĄD
"/Produkt/Serum/LOreal-Paris-Revitalift-Laser-serum-do-twarzy-na-noc-glebokie-zmarszczki-Pure-Retinol-30-ml,366328,9225",L'ORÉAL PARIS,Revitalift Laser,30 ml,"64,99 zł","serum do twarzy na noc głębokie zmarszczki, Pure Retinol, ","909141 51 - Aqua / Water , Glycerin , Alcohol Denat. , Isononyl Isononanoate , Pentylene Glycol , Dicaprylyl Ether , Glycine Soja Oil / Soybean Oil , Propylene Glycol , Peg-6 Caprylic/Capric Glycerides , Citric Acid , Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate , Sodium Hyaluronate , Trisodium Ethylenediamine Disuccinate , Retinol , Dicaprylyl Carbonate , Ammonium Polyacryloyldimethyl Taurate , Butylene Glycol , Caprylyl Glycol , Glyceryl Isostearate , Ppg-6-Decyltetradeceth-30 , Tocopherol , Xanthan Gum , Benzyl Alcohol , Citronellol , Isoeugenol , Limonene , Linalool , Phenoxyethanol , Parfum / Fragrance (F.I.L. B264237/1)."
